"pidlink","w5_rt","w4_rt","w5_tp","w4_tp","w5_age","more_rt","less_rt","less_tp","more_tp","emp","unemp","ret","sing","marr","sep","gender","edu"
7184101,1,4,4,5,37,1,0,1,0,0,0,0,0,1,0,0,12
7200002,5,5,5,5,59,0,0,0,0,0,0,0,0,1,0,1,9
7220001,3,5,2,5,51,1,0,1,0,0,0,0,0,1,0,0,9
7220002,1,4,4,5,47,1,0,1,0,0,0,0,0,1,0,1,12
7230003,4,1,5,5,45,0,1,0,0,0,0,0,0,1,0,0,12
7230004,3,5,5,5,35,1,0,0,0,0,0,0,0,0,0,0,12
7230006,4,4,5,4,29,0,0,0,1,0,0,0,0,0,0,1,12
7233102,1,5,5,5,41,1,0,0,0,0,0,0,0,1,0,1,12
7240002,5,5,5,5,61,0,0,0,0,0,0,0,0,0,0,1,6
7240003,5,1,5,5,34,0,1,0,0,0,0,0,0,1,0,0,12
7240004,1,1,5,4,30,0,0,0,1,0,0,0,0,0,0,0,9
7240005,1,5,2,5,30,1,0,1,0,1,0,0,0,1,0,1,12
7250002,4,3,2,4,42,0,1,1,0,0,0,0,0,0,0,1,12
7250005,5,5,1,5,42,0,0,1,0,0,0,0,0,1,0,1,9
7260001,5,5,5,2,52,0,0,0,1,0,0,0,0,1,0,0,6
7260002,5,5,2,5,54,0,0,1,0,0,0,0,0,1,0,1,9
7260003,5,5,2,5,27,0,0,1,0,0,0,0,0,1,0,1,12
7260004,5,5,5,5,25,0,0,0,0,0,0,0,0,0,0,0,9
7260005,4,5,5,5,24,1,0,0,0,1,0,0,0,0,0,0,12
7280002,1,2,5,2,70,1,0,0,1,0,0,0,1,0,0,1,9
7290001,4,5,5,5,64,1,0,0,0,0,0,0,0,1,0,0,6
7290002,5,5,3,5,50,0,0,1,0,0,0,0,0,1,0,1,12
8010001,3,3,4,4,52,0,0,0,0,0,0,0,0,1,0,0,6
8010002,4,5,3,5,49,1,0,1,0,0,0,0,0,1,0,1,6
8010003,3,5,5,5,29,1,0,0,0,0,0,0,0,1,0,0,12
8014102,5,4,5,3,30,0,1,0,1,0,0,0,0,1,0,1,12
8020001,4,5,5,5,57,1,0,0,0,0,0,0,0,1,0,0,6
8020002,5,5,5,5,54,0,0,0,0,0,0,0,0,1,0,1,6
8020004,5,5,5,1,33,0,0,0,1,1,0,0,0,1,0,1,6
8024201,5,5,5,5,37,0,0,0,0,0,0,0,0,1,0,0,6
8030001,1,5,5,5,51,1,0,0,0,0,0,0,0,1,0,0,6
8030002,5,3,5,3,47,0,1,0,1,0,0,0,0,1,0,1,6
8030004,5,2,5,4,23,0,1,0,1,0,0,0,0,0,0,0,9
8033102,2,4,5,5,48,1,0,0,0,0,0,0,0,0,1,1,6
8040001,5,1,5,5,57,0,1,0,0,0,0,0,0,1,0,0,6
8040002,5,5,5,5,56,0,0,0,0,0,1,0,0,1,0,1,6
8040004,5,5,5,5,38,0,0,0,0,0,0,0,0,1,0,0,9
8040005,5,5,4,4,32,0,0,0,0,0,0,0,0,1,0,0,9
8043102,4,5,5,5,35,1,0,0,0,1,0,0,0,1,0,1,9
8050002,5,4,4,5,52,0,1,1,0,0,0,0,0,1,0,1,6
8050003,5,5,5,2,28,0,0,0,1,0,0,0,0,0,0,0,9
8060003,5,5,5,5,35,0,0,0,0,0,0,0,0,0,1,0,6
8070001,3,5,4,5,62,1,0,1,0,0,0,0,0,1,0,0,6
8070004,5,5,5,5,33,0,0,0,0,0,0,0,0,1,0,0,6
8070005,3,5,4,5,30,1,0,1,0,1,0,0,0,1,0,1,9
8074201,4,1,1,5,49,0,1,1,0,0,0,0,0,1,0,0,12
8080001,5,2,1,5,58,0,1,1,0,0,0,0,0,1,0,0,6
8080002,1,3,5,1,52,1,0,0,1,0,0,0,0,1,0,1,6
8080003,5,5,5,5,34,0,0,0,0,1,0,0,0,1,0,1,9
8080006,1,5,5,3,23,1,0,0,1,0,0,0,0,0,0,0,12
8083101,3,5,4,5,40,1,0,1,0,0,0,0,0,1,0,0,6
8084101,4,1,5,5,33,0,1,0,0,0,0,0,0,1,0,0,12
8090002,5,2,4,5,60,0,1,1,0,0,0,0,0,1,0,1,6
8090005,5,1,5,5,33,0,1,0,0,0,0,0,0,1,0,0,6
8090006,2,1,5,5,31,0,1,0,0,0,0,0,0,1,0,0,6
8090007,4,2,5,5,25,0,1,0,0,0,0,0,0,0,0,0,9
8090008,1,5,4,5,23,1,0,1,0,0,0,0,0,0,0,1,6
8094102,4,4,5,5,33,0,0,0,0,1,0,0,0,1,0,1,12
8100001,5,5,5,5,64,0,0,0,0,0,0,0,0,1,0,0,9
8100003,4,1,5,4,38,0,1,0,1,0,0,0,0,0,0,1,12
8100005,5,5,5,5,32,0,0,0,0,0,0,0,0,0,0,0,12
